id,title,object_id,object_name,other_number,place,date,description,photographer,people,search_terms,credit_line,url
39915,Toumajian farm picnic,L1981.016.001,"Print, Photographic",ALEXANDERIAN_Carnig_1-81,"Worcester
Massachusetts
USA",1918,"Worcester, Massachusetts area, Toumajian Farm, 1918. Photo by Nishan Ohanian.
Armenian young men demonstrate their happiness for the newly formed Republic of Armenia by having a picnic with friends. Along with the American Flag, they hold the tricolor flag of Armenia (used from 1918 to 1920).
The photo donor, who is in front with hat on his knee wrote to Project SAVE:
""Some of the names in the picture are out of my memory. The great part was, I remember, the FESTIVAL of the day, all around the place. The ATMOSPHERE of Real Armenian Country [picnic].""","Ohanian, Nishan",,"1910s
picnics
food
recreation
flag
men
celebration
farm
First Republic of Armenia",Courtesy of Carnig Alexanderian,https://projectsave.catalogaccess.com/photos/39915
48496,Workers repairing a train car,K1999.001.345,"Print, Photographic",TOROSIAN_J_345-99,Soviet Armenia/USSR/Republic of Armenia,,"Workers repairing a train car. American Committee to Aid Armenia (31-33 East 27th St. New York, NY) stamp on the back. c. 1930s.",,,"1930s
men
work
train
vehicles
transportation
hats
service organizations
ANCA- The Armenian National Committee of America",Courtesy of Jack Torosian,https://projectsave.catalogaccess.com/photos/48496
56229,The children's railway train,K1999.001.1112,"Print, Photographic",TOROSIAN_J_1112-99,"Soviet Armenia/USSR/Republic of Armenia
Yerevan/Erivan/Russian Empire/USSR/Republics of Armenia",1951,Italian Delegates at children's railway in Yerevan. The train starts its journey. Soviet Armenia. 1951.,,,"1950s
children
train
vehicles",Courtesy of Jack Torosian,https://projectsave.catalogaccess.com/photos/56229
39916,Backgammon at ASA picnic,L1989.006.036,"Print, Photographic",AVAKIAN_Anahid_36_89,"Rhode Island
USA",,"Armenian Student Association (ASA) picnic, Goddard Park, Warwick Rhode Island, c. 1939. Photographer unknown.
Avedis Avakian plays backgammon against Armenag Kalustian as their wives, Gadar Tekmejian Avakian and Mrs. Kalustian, look  on.
Courtesy of Anahid Avakian",,"Avakian, Avedis
Avakian, Gadar Tekmejian
Kaloustian, Armenag","1930s
recreation
park
men
women
games
ASA -Armenian Students Association
picnics",Courtesy of Anahid Avakian,https://projectsave.catalogaccess.com/photos/39916
48498,Fishermen processing farrel to make caviar,K1999.001.347,"Print, Photographic",TOROSIAN_J_347-99,"Soviet Armenia
USSR
Republic of Armenia",,"Fishermen processing farrel to make caviar at a temporary fish factory / technological station on Lake Sevan, Soviet Armenia. c. 1930s.",,,"men
work
factory
business
fishing
food
1930s",Courtesy of Jack Torosian,https://projectsave.catalogaccess.com/photos/48498
56230,The children's railway train,K1999.001.1113,"Print, Photographic",TOROSIAN_J_1113-99,"Soviet Armenia/USSR/Republic of Armenia
Yerevan/Erivan/Russian Empire/USSR/Republics of Armenia",1951,Italian Delegates at children's railway in Yerevan. A group of delegates (Italy-USSR) in the train car.  Soviet Armenia. 1951.,,,"1950s
children
train
vehicles",Courtesy of Jack Torosian,https://projectsave.catalogaccess.com/photos/56230
48500,Women cleaning bathtubs,K1999.001.349,"Print, Photographic",TOROSIAN_J_349-99,Soviet Armenia/USSR/Republic of Armenia,,Women cleaning bathtubs in the hydrotherapy division of an unidentified medial facility. Soviet Armenia. c. 1930-40s.,,,"health
women
work
medical
1930s
1940s
hospital",Courtesy of Jack Torosian,https://projectsave.catalogaccess.com/photos/48500
39917,1st picnic of the General Society of the Province of Kharpert,K2005.038.001,"Print, Photographic",Arakelian_Zabel_1-05,"Michigan
USA",1924,"The first picnic of the General Society of the Province of Kharpert. Palmer Park, Detroit Michigan, August 31, 1924. Photo by American Commercial Photo Co., Detroit, Michigan.
Courtesy of Zabel Arakelian","American Commercial Photo Co.,",,"women
men
children
hats
1920s
picnics
food
recreation",Courtesy of Zabel Arakelian,https://projectsave.catalogaccess.com/photos/39917
56231,The children's railway train,K1999.001.1114,"Print, Photographic",TOROSIAN_J_1114-99,"Soviet Armenia/USSR/Republic of Armenia
Yerevan/Erivan/Russian Empire/USSR/Republics of Armenia",1951,Italian Delegates at children's railway in Yerevan. The train recognizes the 12 year old station master. [Italy-USSR] delegation.  Soviet Armenia. 1951.,,,"1950s
children
train
vehicles",Courtesy of Jack Torosian,https://projectsave.catalogaccess.com/photos/56231
48501,Computer scientists Rosa Janikian and Tatiana Yughebashian,K1999.001.350,"Print, Photographic",TOROSIAN_J_350-99,"Soviet Armenia
USSR
Republic of Armenia",1965,"Computer scientists Rosa Janikian and Tatiana Yughebashian working near ""Hraztan"" computer, Academy of Sciences Center of Computers, Soviet Armenia, 1965, photographed by NMG.",,,"1960s
work
women
school
education
uniform
uniforms
academics",Courtesy of Jack Torosian,https://projectsave.catalogaccess.com/photos/48501
56232,The children's railway train,K1999.001.1115,"Print, Photographic",TOROSIAN_J_1115-99,"Soviet Armenia/USSR/Republic of Armenia
Yerevan/Erivan/Russian Empire/USSR/Republics of Armenia",1951,Italian Delegates at children's railway in Yerevan. The [Italy-USSR] delegation at the entrance of the culture and rest park of the railroad. Soviet Armenia. 1951.,,,"1950s
children
train
vehicles",Courtesy of Jack Torosian,https://projectsave.catalogaccess.com/photos/56232
39919,"Armenian Vanetzis at Van Hotel, Asbury Park NJ",L2008.063.001,"Print, Photographic",HACHIGIAN_Vart_1-08,"Asbury Park
New Jersey
USA",,"Armenian Vanetzis (people born in Van or related to those who are), Van Hotel, Asbury Park, New Jersey, late 1940s or early 1950s; photographer unknown.
Near the Asbury Park boardwalk, Van Hotel was a summer gathering place especially for those from the Tri-State Area of NY, NJ and CT. They came together as a community and enjoyed the beach during the day, and music and dancing at night.
Courtesy of Vanetzi Vart Shirvanian Hachigian; and her cousin Seda Aykanian Mataevosian",,"Shirvanian, Megrdich","1940s
1950s
picnics
recreation",Courtesy of Vart Shirvanian Hachigian,https://projectsave.catalogaccess.com/photos/39919
48502,"Alexei Ekimyan, composer",K1999.001.351,"Print, Photographic",TOROSIAN_J_351-99,Soviet Armenia/USSR/Republic of Armenia,,"Alexei Ekimyan, member of  the USSR Composers' Union. Soviet Armenia, c. 1950s.
Novosti Press Agency Photo",,,"men
work
Artists
1950s
Notables",Courtesy of Jack Torosian,https://projectsave.catalogaccess.com/photos/48502
56233,The children's railway train,K1999.001.1116,"Print, Photographic",TOROSIAN_J_1116-99,"Soviet Armenia/USSR/Republic of Armenia
Yerevan/Erivan/Russian Empire/USSR/Republics of Armenia",1951,Italian Delegates at children's railway in Yerevan. Group of delegates with Pioneers. Behind them is one of the Railroad stations. Soviet Armenia. 1951.,,,"1950s
children
train
vehicles",Courtesy of Jack Torosian,https://projectsave.catalogaccess.com/photos/56233
39920,"Picnic among friends in Totowa, NJ",K2002.009.021,"Print, Photographic",KAZANJIAN_John_21-02,"New Jersey
USA",,"Picnic among friends  in Totowa, New Jersey, on land owned by Hagop Kazanjian, seated third from left, circa 1900.  Photo by Fred Toprahan, Paterson, New Jersey
Courtesy of John Kazanjian","Toprahan, Fred","Kazanjian, Hagop","1900s
men
picnics
food
recreation",Courtesy of John Kazanjian,https://projectsave.catalogaccess.com/photos/39920
